,Foundation,Type,Stories,Garage,Size,Frame,mi_Cement,mi_Concrete,mi_Steel,mi_Glass,mi_Gypsum,mi_Insulation,mi_Wood,mi_Fibreglass,mi_Sand/Aggregate,mi_Other,mi_Transport/Construction,mi_Tot,gi20_Cement,gi20_Concrete,gi20_Steel,gi20_Glass,gi20_Gypsum,gi20_Insulation,gi20_Wood,gi20_Fibreglass,gi20_Sand/Aggregate,gi20_Other,gi20_Transport/Construction,gi20_Tot,arch
16,Strip,MF,Multiple,No,Small,Podium,10.85744223,160.0732741,4.744977706,4.935447575,30.82351829,1.355500667,52.70051267,18.51019188,45.09796981,18.72862787,0,347.8274628,9.901987314,19.36886616,9.442505635,8.044779548,9.269178663,21.84735496,13.6512895,33.43952053,0.336881834,7.755515458,11.49617446,144.5540541,16
17,Basement,SF,One,Yes,Large,Wood,27.42491455,412.0498017,7.013240939,6.369291201,19.08486113,2.516077404,60.78551649,68.73354462,91.8777635,12.26316239,0,708.1181739,25.01152207,49.85802601,13.95634947,10.38194466,5.739156247,24.20736421,13.87110462,40.94471367,0.686326893,12.14167634,17.09365886,213.891843,17
18,Basement,SF,One,No,Large,Wood,26.02932797,355.9199667,6.438232648,5.786343562,17.20372293,2.502683053,53.09092945,55.85911102,85.09920008,10.66303429,0,618.5925517,23.73874711,43.06631597,12.81208297,9.431740006,5.173464626,24.14745931,12.20055421,34.34006414,0.635691025,10.44473726,14.80700924,190.7978659,18
19,Basement,SF,One,Yes,Small,Wood,40.42733857,557.8298939,9.496053698,9.595040775,25.12560347,3.480269231,76.74110727,78.93495303,136.545668,16.3795253,0,954.5554533,36.86973278,67.49741716,18.89714686,15.63991646,7.555714614,34.89614824,17.5182135,54.54549491,1.01999614,17.35125697,22.68022855,294.4712662,19
20,Basement,SF,One,No,Small,Wood,37.73250582,461.6073195,8.486777299,8.345867262,21.49318619,3.451567049,62.46613016,56.74051626,123.4564803,13.51178786,0,797.2921378,34.41204531,55.85448566,16.88868683,13.60376364,6.463382312,34.76778061,14.40230492,42.12780828,0.922219908,14.19253989,18.63212536,252.2671427,20
21,Basement,SF,Multiple,Yes,Large,Wood,22.48138054,277.2753017,5.913704289,7.200486362,21.90601481,2.156497228,63.97279546,41.78357695,80.73926868,9.551463751,0,532.9804897,20.50301905,33.5503115,11.76827153,11.73679277,6.5875272,17.55981088,15.43185603,32.42992789,0.603122337,11.35928331,10.68848384,172.2184063,21
22,Basement,SF,Multiple,No,Large,Wood,21.18436393,229.1640145,5.37021941,6.617538722,20.157741,2.143102876,56.5087382,28.90914335,74.43947372,7.994388009,0,452.4887237,19.32013991,27.72884575,10.68673663,10.78658812,6.061790254,17.49990599,13.82080641,25.82527836,0.556062869,9.752350224,12.18019883,154.2187033,22
23,Basement,SF,Multiple,No,Small,Wood,26.13491095,323.5733401,7.137658945,9.985087654,28.99527857,3.064817616,72.29260781,30.23918861,95.00057862,9.98306442,0,606.4065333,23.83503878,39.15237415,14.2039413,16.27569288,8.719394552,25.66787482,17.71991265,37.57702626,0.709654322,13.50739895,16.00398112,213.3722898,23
24,Basement,SF,One,Yes,Large,Masonry,51.37698542,624.1700894,9.074805313,6.369291201,19.08486113,3.063554644,44.06707559,68.73354462,160.0232653,16.46487485,0,1002.428347,46.8558107,75.52458082,18.05886257,10.38194466,5.739156247,47.72408542,9.685267663,40.94471367,1.195373792,15.41901206,22.07231264,293.6011202,24
25,Basement,SF,One,No,Large,Masonry,45.03829415,524.1060389,8.111259455,5.786343562,17.20372293,3.050160292,39.78059641,55.85911102,139.1735454,13.99597686,0,852.105049,41.07492426,63.4168307,16.14140632,9.431740006,5.173464626,47.66418052,8.87419236,34.34006414,1.039626384,13.04443247,18.79801928,258.9988811,25
